# Table format: 3D	
# Getriebe: VOITH D 857.8 Diff.3 
# 
# Autor: Ebners, araev 
# Datum: 10-Jan-2024 14:29:50 

 10
 28
  7
  0  380  760  1140  1520  1900  2280  2660  3040  3420  
-550  -4.888889e+02  -4.277778e+02  -3.666667e+02  -3.055556e+02  -2.444445e+02  -1.833334e+02  -1.222223e+02  -6.111120e+01  -1.000000e-04  6.111100e+01  1.222221e+02  1.833332e+02  2.444443e+02  3.055554e+02  3.666665e+02  4.277776e+02  4.888887e+02  5.499998e+02  6.111109e+02  6.722220e+02  7.333331e+02  7.944442e+02  8.555553e+02  9.166664e+02  9.777775e+02  1.038889e+03  1.100000e+03  
  1   2   3   4
  5   6   7 
  0.9270    0.9307    0.9299    0.9245    0.9147    0.9006    0.8824    0.8603    0.8346    0.8057  
  0.9346    0.9379    0.9372    0.9323    0.9235    0.9106    0.8941    0.8739    0.8502    0.8235  
  0.9407    0.9438    0.9431    0.9387    0.9306    0.9189    0.9036    0.8850    0.8632    0.8383  
  0.9458    0.9486    0.9480    0.9439    0.9365    0.9257    0.9116    0.8944    0.8740    0.8508  
  0.9501    0.9527    0.9521    0.9484    0.9415    0.9315    0.9184    0.9023    0.8833    0.8615  
  0.9538    0.9562    0.9557    0.9522    0.9457    0.9364    0.9242    0.9091    0.8913    0.8708  
  0.9569    0.9592    0.9587    0.9554    0.9494    0.9407    0.9292    0.9151    0.8983    0.8789  
  0.9597    0.9618    0.9613    0.9583    0.9526    0.9444    0.9336    0.9203    0.9044    0.8860  
  0.9621    0.9641    0.9637    0.9608    0.9555    0.9477    0.9375    0.9249    0.9099    0.8924  
  0.9643    0.9661    0.9657    0.9630    0.9580    0.9506    0.9410    0.9290    0.9147    0.8981  
  0.9662    0.9680    0.9676    0.9650    0.9602    0.9532    0.9441    0.9327    0.9191    0.9032  

  0.9606    0.9640    0.9632    0.9583    0.9492    0.9361    0.9191    0.8984    0.8742    0.8468  
  0.9559    0.9597    0.9588    0.9533    0.9432    0.9287    0.9099    0.8871    0.8607    0.8309  
  0.9499    0.9542    0.9532    0.9470    0.9356    0.9193    0.8983    0.8730    0.8439    0.8114  
  0.9420    0.9470    0.9458    0.9387    0.9257    0.9071    0.8833    0.8550    0.8225    0.7866  
  0.9312    0.9370    0.9357    0.9273    0.9121    0.8905    0.8632    0.8309    0.7943    0.7544  
  0.9155    0.9225    0.9209    0.9108    0.8925    0.8668    0.8347    0.7972    0.7555    0.7108  
  0.8904    0.8993    0.8973    0.8845    0.8616    0.8300    0.7911    0.7467    0.6985    0.6483  
  0.8442    0.8562    0.8534    0.8362    0.8059    0.7649    0.7162    0.6627    0.6070    0.5513  
  0.7303    0.7485    0.7443    0.7185    0.6749    0.6193    0.5579    0.4956    0.4358    0.3806  
  0.0424    0.0464    0.0455    0.0401    0.0328    0.0259    0.0202    0.0158    0.0125    0.0100  
  0.7303    0.7485    0.7443    0.7185    0.6749    0.6193    0.5579    0.4956    0.4358    0.3806  
  0.8442    0.8562    0.8534    0.8362    0.8059    0.7649    0.7162    0.6627    0.6070    0.5513  
  0.8904    0.8993    0.8973    0.8845    0.8616    0.8300    0.7911    0.7467    0.6985    0.6483  
  0.9155    0.9225    0.9209    0.9108    0.8925    0.8668    0.8347    0.7972    0.7555    0.7108  
  0.9312    0.9370    0.9357    0.9273    0.9121    0.8905    0.8632    0.8309    0.7943    0.7544  
  0.9420    0.9470    0.9458    0.9387    0.9257    0.9071    0.8833    0.8550    0.8225    0.7866  
  0.9499    0.9542    0.9532    0.9470    0.9356    0.9193    0.8983    0.8730    0.8439    0.8114  
  0.9559    0.9597    0.9588    0.9533    0.9432    0.9287    0.9099    0.8871    0.8607    0.8309  
  0.9606    0.9640    0.9632    0.9583    0.9492    0.9361    0.9191    0.8984    0.8742    0.8468  
  0.9644    0.9675    0.9668    0.9623    0.9540    0.9421    0.9266    0.9076    0.8854    0.8600  
  0.9675    0.9704    0.9697    0.9656    0.9580    0.9471    0.9328    0.9153    0.8947    0.8711  
  0.9701    0.9728    0.9722    0.9684    0.9614    0.9513    0.9381    0.9218    0.9026    0.8806  
  0.9724    0.9748    0.9743    0.9707    0.9643    0.9549    0.9426    0.9274    0.9094    0.8887  
  0.9743    0.9766    0.9760    0.9728    0.9667    0.9579    0.9464    0.9322    0.9154    0.8959  
  0.9760    0.9781    0.9776    0.9745    0.9689    0.9606    0.9498    0.9365    0.9205    0.9021  
  0.9774    0.9794    0.9790    0.9761    0.9708    0.9630    0.9528    0.9402    0.9251    0.9077  
  0.9787    0.9806    0.9802    0.9775    0.9724    0.9651    0.9555    0.9435    0.9292    0.9126  
  0.9799    0.9817    0.9813    0.9787    0.9739    0.9670    0.9578    0.9465    0.9329    0.9171  

  0.9432    0.9466    0.9458    0.9409    0.9320    0.9191    0.9023    0.8820    0.8582    0.8312  
  0.9365    0.9403    0.9394    0.9340    0.9241    0.9099    0.8914    0.8691    0.8432    0.8140  
  0.9281    0.9323    0.9314    0.9253    0.9142    0.8983    0.8778    0.8532    0.8248    0.7930  
  0.9171    0.9219    0.9208    0.9139    0.9013    0.8833    0.8603    0.8328    0.8014    0.7665  
  0.9022    0.9077    0.9065    0.8984    0.8839    0.8632    0.8369    0.8059    0.7707    0.7323  
  0.8807    0.8873    0.8858    0.8762    0.8589    0.8346    0.8042    0.7686    0.7289    0.6864  
  0.8469    0.8551    0.8533    0.8415    0.8204    0.7910    0.7549    0.7135    0.6685    0.6214  
  0.7867    0.7974    0.7950    0.7797    0.7527    0.7162    0.6725    0.6241    0.5735    0.5225  
  0.6485    0.6631    0.6597    0.6389    0.6035    0.5578    0.5065    0.4536    0.4020    0.3537  
  0.0293    0.0312    0.0308    0.0281    0.0243    0.0202    0.0165    0.0134    0.0109    0.0089  
  0.6485    0.6631    0.6597    0.6389    0.6035    0.5578    0.5065    0.4536    0.4020    0.3537  
  0.7867    0.7974    0.7950    0.7797    0.7527    0.7162    0.6725    0.6241    0.5735    0.5225  
  0.8469    0.8551    0.8533    0.8415    0.8204    0.7910    0.7549    0.7135    0.6685    0.6214  
  0.8807    0.8873    0.8858    0.8762    0.8589    0.8346    0.8042    0.7686    0.7289    0.6864  
  0.9022    0.9077    0.9065    0.8984    0.8839    0.8632    0.8369    0.8059    0.7707    0.7323  
  0.9171    0.9219    0.9208    0.9139    0.9013    0.8833    0.8603    0.8328    0.8014    0.7665  
  0.9281    0.9323    0.9314    0.9253    0.9142    0.8983    0.8778    0.8532    0.8248    0.7930  
  0.9365    0.9403    0.9394    0.9340    0.9241    0.9099    0.8914    0.8691    0.8432    0.8140  
  0.9432    0.9466    0.9458    0.9409    0.9320    0.9191    0.9023    0.8820    0.8582    0.8312  
  0.9486    0.9516    0.9509    0.9465    0.9384    0.9266    0.9112    0.8925    0.8705    0.8455  
  0.9530    0.9558    0.9552    0.9511    0.9436    0.9328    0.9186    0.9013    0.8809    0.8575  
  0.9568    0.9594    0.9588    0.9550    0.9481    0.9380    0.9249    0.9088    0.8897    0.8678  
  0.9600    0.9624    0.9618    0.9583    0.9519    0.9425    0.9303    0.9152    0.8973    0.8767  
  0.9627    0.9650    0.9645    0.9612    0.9552    0.9464    0.9349    0.9208    0.9040    0.8845  
  0.9651    0.9672    0.9668    0.9637    0.9580    0.9498    0.9390    0.9257    0.9098    0.8914  
  0.9672    0.9692    0.9688    0.9659    0.9606    0.9528    0.9426    0.9300    0.9150    0.8975  
  0.9691    0.9710    0.9706    0.9678    0.9628    0.9555    0.9458    0.9338    0.9195    0.9029  
  0.9708    0.9725    0.9721    0.9696    0.9648    0.9578    0.9487    0.9373    0.9237    0.9078  

  0.9432    0.9466    0.9458    0.9409    0.9320    0.9191    0.9023    0.8820    0.8582    0.8312  
  0.9365    0.9403    0.9394    0.9340    0.9241    0.9099    0.8914    0.8691    0.8432    0.8140  
  0.9281    0.9323    0.9314    0.9253    0.9142    0.8983    0.8778    0.8532    0.8248    0.7930  
  0.9171    0.9219    0.9208    0.9139    0.9013    0.8833    0.8603    0.8328    0.8014    0.7665  
  0.9022    0.9077    0.9065    0.8984    0.8839    0.8632    0.8369    0.8059    0.7707    0.7323  
  0.8807    0.8873    0.8858    0.8762    0.8589    0.8346    0.8042    0.7686    0.7289    0.6864  
  0.8469    0.8551    0.8533    0.8415    0.8204    0.7910    0.7549    0.7135    0.6685    0.6214  
  0.7867    0.7974    0.7950    0.7797    0.7527    0.7162    0.6725    0.6241    0.5735    0.5225  
  0.6485    0.6631    0.6597    0.6389    0.6035    0.5578    0.5065    0.4536    0.4020    0.3537  
  0.0293    0.0312    0.0308    0.0281    0.0243    0.0202    0.0165    0.0134    0.0109    0.0089  
  0.6485    0.6631    0.6597    0.6389    0.6035    0.5578    0.5065    0.4536    0.4020    0.3537  
  0.7867    0.7974    0.7950    0.7797    0.7527    0.7162    0.6725    0.6241    0.5735    0.5225  
  0.8469    0.8551    0.8533    0.8415    0.8204    0.7910    0.7549    0.7135    0.6685    0.6214  
  0.8807    0.8873    0.8858    0.8762    0.8589    0.8346    0.8042    0.7686    0.7289    0.6864  
  0.9022    0.9077    0.9065    0.8984    0.8839    0.8632    0.8369    0.8059    0.7707    0.7323  
  0.9171    0.9219    0.9208    0.9139    0.9013    0.8833    0.8603    0.8328    0.8014    0.7665  
  0.9281    0.9323    0.9314    0.9253    0.9142    0.8983    0.8778    0.8532    0.8248    0.7930  
  0.9365    0.9403    0.9394    0.9340    0.9241    0.9099    0.8914    0.8691    0.8432    0.8140  
  0.9432    0.9466    0.9458    0.9409    0.9320    0.9191    0.9023    0.8820    0.8582    0.8312  
  0.9486    0.9516    0.9509    0.9465    0.9384    0.9266    0.9112    0.8925    0.8705    0.8455  
  0.9530    0.9558    0.9552    0.9511    0.9436    0.9328    0.9186    0.9013    0.8809    0.8575  
  0.9568    0.9594    0.9588    0.9550    0.9481    0.9380    0.9249    0.9088    0.8897    0.8678  
  0.9600    0.9624    0.9618    0.9583    0.9519    0.9425    0.9303    0.9152    0.8973    0.8767  
  0.9627    0.9650    0.9645    0.9612    0.9552    0.9464    0.9349    0.9208    0.9040    0.8845  
  0.9651    0.9672    0.9668    0.9637    0.9580    0.9498    0.9390    0.9257    0.9098    0.8914  
  0.9672    0.9692    0.9688    0.9659    0.9606    0.9528    0.9426    0.9300    0.9150    0.8975  
  0.9691    0.9710    0.9706    0.9678    0.9628    0.9555    0.9458    0.9338    0.9195    0.9029  
  0.9708    0.9725    0.9721    0.9696    0.9648    0.9578    0.9487    0.9373    0.9237    0.9078  

  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
  1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  

