;;L0; L3 ; L4 min ; L4 max ; L6 min ; L6 max ; L7 
Sparprogramm Downhill 
4->4O;UPS 67; 1525; 1325; 1325; 1425; 1750; 1750; 1750;
2->1;DNS 21;  725;  950;  950; 1000; 1050; 1200; 1225;
2O->2;DNS 32; 1450; 1050; 1050; 1200; 1450; 1500; 1450;
3->2;DNS 42; 1450; 1025; 1025; 1175; 1425; 1475; 1425;
3->2O;DNS 43; 1450; 1075; 1075; 1225; 1450; 1500; 1450;
3O->2O;DNS 53; 1450; 1075; 1075; 1225; 1450; 1500; 1450;
3O->3;DNS 54; 1450; 1075; 1075; 1225; 1450; 1500; 1450;
4->3;DNS 64; 1450; 1050; 1050; 1200; 1425; 1475; 1425;
4->3O;DNS 65; 1450; 1075; 1075; 1225; 1450; 1500; 1450;
4O->3O;DNS 75; 1450; 1075; 1075; 1225; 1450; 1500; 1450;
4O->4;DNS 76; 1450; 1200; 1200; 1300; 1600; 1600; 1600;
